"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"12644","OPTCUR","JPYINR","OPTION","27-Mar-2026",59.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.205,6.5,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.985,"JPYINR"
"14932","OPTCUR","JPYINR","OPTION","27-Mar-2026",63.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.1875,4.1925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.015,"JPYINR"
"14971","OPTCUR","USDINR","OPTION","27-Mar-2026",82.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0975,0.1575,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.1275,"USDINR"
"15100","OPTCUR","USDINR","OPTION","27-Mar-2026",86.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.225,1.6,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.4,"USDINR"
"15998","OPTCUR","USDINR","OPTION","27-Mar-2026",90.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.195,0.3,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.37,"USDINR"
"1772","OPTCUR","GBPINR","OPTION","27-Mar-2026",104.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.39,0.61,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9625,"GBPINR"
"5651","OPTCUR","EURINR","OPTION","27-Mar-2026",100.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.8325,4.9825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.5575,"EURINR"
"9417","OPTCUR","JPYINR","OPTION","27-Mar-2026",57.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.785,1.135,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.18,"JPYINR"
"9819","OPTCUR","JPYINR","OPTION","27-Mar-2026",58.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.685,7.035,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.455,"JPYINR"
"14919","OPTCUR","JPYINR","OPTION","27-Mar-2026",62.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.54,4.605,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.3575,"JPYINR"
